rssd_id,banks,city,state,consol_assets_bn
242444,TRI CITY NB,OAK CREEK,Wisconsin,1.7
2471239,CFG CMNTY BK,LUTHERVILLE,Maryland,1.7
785923,LCNB NB,LEBANON,Ohio,1.7
2596646,FIRST CMNTY BK,BATESVILLE,Arkansas,1.7
150035,FIRST FARMERS & MRCH B,COLUMBIA,Tennessee,1.7
176101,ORANGE B&TC,MIDDLETOWN,New York,1.7
1007819,FIDELITY DEPOSIT & DISCOUNT BK,DUNMORE,Pennsylvania,1.7
867650,PINNACLE BK,FORT WORTH,Texas,1.7
290052,CENTRAL BK OF THE OZARKS,SPRINGFIELD,Missouri,1.7
163549,INCREDIBLEBANK,WAUSAU,Wisconsin,1.7
18827,NEXTIER BK NA,KITTANNING,Pennsylvania,1.7
914648,BANKFIRST FINANCIAL SVC,MACON,Mississippi,1.7
783161,FIRST NORTHERN BK,DIXON,California,1.7
61122,FIRST UNITED B&TR,OAKLAND,Maryland,1.7
473266,TEXAS FIRST BK,TEXAS CITY,Texas,1.7
508346,HAWTHORN BK,JEFFERSON CITY,Missouri,1.7
781028,ESSEX BK,RICHMOND,Virginia,1.6
2717012,PACIFIC MERC BK,COSTA MESA,California,1.6
521804,MAHOPAC BK,MAHOPAC,New York,1.6
923752,COMMUNITY NB&TC,CHANUTE,Kansas,1.6
677644,FARMERS & MERCHANTS BK,STUTTGART,Arkansas,1.6
187947,BANK IA,WEST DES MOINES,Iowa,1.6
340135,BANK OF TN,KINGSPORT,Tennessee,1.6
852544,SOUTHERN BANCORP BK,ARKADELPHIA,Arkansas,1.6
656470,STATE BK OF SOUTHERN UT,CEDAR CITY,Utah,1.6
212522,SOMERSET TC,SOMERSET,Pennsylvania,1.6
324340,CHOICEONE BK,SPARTA,Michigan,1.6
69333,CITIZENS NB OF MERIDIAN,MERIDIAN,Mississippi,1.6
