rssd_id,portfolio,Peer,state,present,peer_rssd_id,Assets,color,Size,loc_x,loc_y,name
470452,Comm. & Industrial,bank0,Oklahoma,2,470452,2,#000000,10,-55,46,ARMSTRONG BK
470452,Comm. & Industrial,bank1,Arkansas,1,42448,1,#fffb00,6,-42,48,FIRST NB
470452,Comm. & Industrial,bank2,New York,1,433608,2,#ff00ff,10,28,18,TOMPKINS TC
470452,Comm. & Industrial,bank3,New York,1,866000,2,#1900ff,10,20,20,GLENS FALLS NB&TC
473266,Comm. & Industrial,bank0,Texas,2,473266,1,#000000,8,-60,60,TEXAS FIRST BK
473266,Comm. & Industrial,bank1,Pennsylvania,1,5210,2,#fffb00,12,15,30,ACNB BK
473266,Comm. & Industrial,bank2,Arkansas,1,12946,1,#ff00ff,8,-42,48,FARMERS B&TC
473266,Comm. & Industrial,bank3,Pennsylvania,1,18827,1,#1900ff,8,10,27,NEXTIER BK NA
473501,Comm. & Industrial,bank0,Massachusetts,2,473501,12,#000000,8,38,23,BERKSHIRE BK
473501,Comm. & Industrial,bank1,Massachusetts,1,35301,268,#fffb00,12,42,27,STATE STREET B&TC
473501,Comm. & Industrial,bank2,Washington,1,58971,9,#ff00ff,6,-138,0,WASHINGTON TR BK
473501,Comm. & Industrial,bank3,Arkansas,1,456045,16,#1900ff,10,-42,48,CENTENNIAL BK
474254,Comm. & Industrial,bank0,Texas,2,474254,4,#000000,12,-60,60,BROADWAY NB
474254,Comm. & Industrial,bank1,Pennsylvania,1,5210,2,#fffb00,10,15,30,ACNB BK
474254,Comm. & Industrial,bank2,Arkansas,1,12946,1,#ff00ff,6,-42,48,FARMERS B&TC
474254,Comm. & Industrial,bank3,Pennsylvania,1,18827,1,#1900ff,6,10,27,NEXTIER BK NA
474759,Comm. & Industrial,bank0,Colorado,2,474759,4,#000000,6,-85,38,SUNFLOWER BK NA
474759,Comm. & Industrial,bank1,Florida,1,34537,8,#fffb00,10,0,63,SEACOAST NB
474759,Comm. & Industrial,bank2,Pennsylvania,1,42420,9,#ff00ff,12,15,30,FIRST COMMONWEALTH BK
474759,Comm. & Industrial,bank3,Kentucky,1,317342,4,#1900ff,6,-12,42,STOCK YARDS B&TC
474919,Comm. & Industrial,bank0,Pennsylvania,2,474919,25,#000000,12,15,30,FULTON BK NA
474919,Comm. & Industrial,bank1,Florida,1,814430,17,#fffb00,10,0,63,CITY NB OF FL
474919,Comm. & Industrial,bank2,Indiana,1,991340,7,#ff00ff,6,-13,33,1ST SOURCE BK
474919,Comm. & Industrial,bank3,Illinois,1,2239288,8,#1900ff,8,-27,37,WINTRUST BK NA
476810,Comm. & Industrial,bank0,South Dakota,2,476810,1648,#000000,12,-65,15,CITIBANK NA
476810,Comm. & Industrial,bank1,Ohio,1,504713,530,#fffb00,10,-5,35,U S BK NA
476810,Comm. & Industrial,bank2,Ohio,1,723112,200,#ff00ff,6,2,30,FIFTH THIRD BK NA
476810,Comm. & Industrial,bank3,North Carolina,1,852320,488,#1900ff,8,9,48,TRUIST BK
479268,Comm. & Industrial,bank0,California,2,479268,3,#000000,10,-145,40,BANK OF STOCKTON
479268,Comm. & Industrial,bank1,Maine,1,522605,3,#fffb00,10,50,10,BAR HARBOR BK & TR CO
479268,Comm. & Industrial,bank2,Florida,1,1867983,2,#ff00ff,6,0,63,CITIZENS FIRST BK
479268,Comm. & Industrial,bank3,New Mexico,1,2649122,2,#1900ff,6,-90,50,NEW MEXICO B&TC
480228,Comm. & Industrial,bank0,North Carolina,2,480228,2157,#000000,10,9,48,BANK OF AMER NA
480228,Comm. & Industrial,bank1,South Dakota,1,451965,1750,#fffb00,8,-65,15,WELLS FARGO BK NA
480228,Comm. & Industrial,bank2,Delaware,1,817824,457,#ff00ff,6,28,38,PNC BK NA
480228,Comm. & Industrial,bank3,Ohio,1,852218,2869,#1900ff,12,-5,35,JPMORGAN CHASE BK NA
485559,Comm. & Industrial,bank0,Tennessee,2,485559,82,#000000,8,-15,47,FIRST HORIZON BK
485559,Comm. & Industrial,bank1,Utah,1,276579,78,#fffb00,6,-110,35,ZIONS BC NA
485559,Comm. & Industrial,bank2,Alabama,1,697633,102,#ff00ff,12,-16,52,BBVA USA
485559,Comm. & Industrial,bank3,California,1,804963,96,#1900ff,10,-145,40,BANK OF THE WEST
489623,Comm. & Industrial,bank0,Ohio,2,489623,9,#000000,8,-5,35,PARK NB
489623,Comm. & Industrial,bank1,New Jersey,1,35570,26,#fffb00,12,28,35,INVESTORS BK
489623,Comm. & Industrial,bank2,Texas,1,470050,10,#ff00ff,10,-60,60,FIRST FNCL BK NA
489623,Comm. & Industrial,bank3,Washington,1,881478,6,#1900ff,6,-138,0,HERITAGE BK
491224,Comm. & Industrial,bank0,North Carolina,2,491224,48,#000000,12,9,48,FIRST-CITIZENS B&TC
491224,Comm. & Industrial,bank1,New Jersey,1,229801,40,#fffb00,10,28,35,VALLEY NB
491224,Comm. & Industrial,bank2,Wisconsin,1,917742,34,#ff00ff,8,-30,15,ASSOCIATED BK NA
