date,rssd_id,product,chg_b,chg_s,rolling9q_b,rolling9q_s
2023-06-30,12946,Comm. & Industrial,556.0118415,411.5348257,3122.161494,1469.548371
2023-09-30,12946,Comm. & Industrial,560.3627424,456.0653409,2704.012484,1426.295947
2023-12-31,12946,Comm. & Industrial,564.7992248,507.1569076,2385.443609,1426.657333
2024-03-31,12946,Comm. & Industrial,570.302426,560.3632398,2138.473872,1442.709849
2020-12-31,12946,Comm. Real Estate,85,85,2.304922106,2.304922106
2021-03-31,12946,Comm. Real Estate,294.1462772,288.1258685,2.715424442,2.705067525
2021-06-30,12946,Comm. Real Estate,239.0260766,367.5007462,2.948762576,3.153870016
2021-09-30,12946,Comm. Real Estate,224.7671394,396.8502448,2.881636999,3.363897767
2021-12-31,12946,Comm. Real Estate,217.4208256,409.3154192,3.101563829,3.877500139
2022-03-31,12946,Comm. Real Estate,215.6139464,428.5722263,2.833656127,3.926794335
2022-06-30,12946,Comm. Real Estate,191.1063653,447.8290335,3.013186833,4.478511692
2022-09-30,12946,Comm. Real Estate,166.5987842,459.0288932,2.671963463,4.545440124
2022-12-31,12946,Comm. Real Estate,153.315102,412.7841478,2.631487164,4.852151161
2023-03-31,12946,Comm. Real Estate,144.2348212,369.9352187,2.670353351,5.177964286
2023-06-30,12946,Comm. Real Estate,148.7749616,336.9369998,2.41709443,5.156831656
2023-09-30,12946,Comm. Real Estate,153.315102,312.0197674,2.25586328,4.990761054
2023-12-31,12946,Comm. Real Estate,150.942619,298.7841636,2.116399002,4.771825561
2024-03-31,12946,Comm. Real Estate,148.570136,283.1760769,1.988283023,4.522254312
2020-12-31,12946,Jr Mortgage & HELOC,1,1,15.2067814,15.2067814
2021-03-31,12946,Jr Mortgage & HELOC,25.59140981,21.61819026,11.68575472,11.17548601
2021-06-30,12946,Jr Mortgage & HELOC,24.97521572,20.4941382,13.69074417,12.60664493
2021-09-30,12946,Jr Mortgage & HELOC,24.23468406,19.26555427,15.57325104,13.85696082
2021-12-31,12946,Jr Mortgage & HELOC,24.50984036,17.84012487,17.56703287,14.99264784
2022-03-31,12946,Jr Mortgage & HELOC,24.78674561,16.47465313,19.78036537,16.10077358
2022-06-30,12946,Jr Mortgage & HELOC,25.06518118,15.3564387,21.95598142,16.99149101
2022-09-30,12946,Jr Mortgage & HELOC,25.12870418,14.01166868,24.29194082,17.80971791
2022-12-31,12946,Jr Mortgage & HELOC,25.40976317,13.17742273,26.7280174,18.54276112
2023-03-31,12946,Jr Mortgage & HELOC,25.69191526,12.8483024,29.99807964,20.10841251
2023-06-30,12946,Jr Mortgage & HELOC,25.88589714,13.05841216,30.01911481,18.95770638
2023-09-30,12946,Jr Mortgage & HELOC,26.17023541,13.42227762,30.15983344,18.00618141
2023-12-31,12946,Jr Mortgage & HELOC,26.45566677,13.76749349,30.43668231,17.26488637
2024-03-31,12946,Jr Mortgage & HELOC,26.65227207,14.57338804,30.70276778,16.82074066
2020-12-31,12946,Credit Cards,125,125,148.418363,148.418363
2021-03-31,12946,Credit Cards,34.77095032,8.744993574,165.9202607,145.0688944
2021-06-30,12946,Credit Cards,36.20181777,2.790522625,164.0860528,118.9962484
2021-09-30,12946,Credit Cards,37.8285556,1.734999317,183.5173567,113.5977442
2021-12-31,12946,Credit Cards,38.04524971,4.067330068,203.5263368,111.1691069
2022-03-31,12946,Credit Cards,38.27502043,7.973479424,225.0310275,112.7486204
2022-06-30,12946,Credit Cards,38.51623319,13.72833511,245.3009921,117.8939037
2022-09-30,12946,Credit Cards,39.0440821,18.5572498,265.2852761,126.164114
2022-12-31,12946,Credit Cards,39.30490978,23.52205974,284.3214576,137.2502459
2023-03-31,12946,Credit Cards,39.57391035,27.81441997,224.125751,71.48004929
2023-06-30,12946,Credit Cards,39.95165702,31.68932445,224.2591593,85.29348867
2023-09-30,12946,Credit Cards,40.23700335,35.94585586,223.658397,105.2265915
2023-12-31,12946,Credit Cards,40.53052257,40.83092879,222.2361905,128.3383183
2024-03-31,12946,Credit Cards,40.92788416,45.78385585,220.9651537,152.4388379
2020-12-31,17147,Comm. & Industrial,995,995,5.001451979,5.001451979
2021-03-31,17147,Comm. & Industrial,2340.574122,604.0729221,5.681904517,4.875119758
2021-06-30,17147,Comm. & Industrial,1462.130652,2298.167866,5.84934141,5.454732646
2021-09-30,17147,Comm. & Industrial,1456.494729,3448.489996,6.002328023,6.454383402
2021-12-31,17147,Comm. & Industrial,1414.169386,3931.986378,6.187612618,7.606644607
2022-03-31,17147,Comm. & Industrial,1441.093378,4383.177188,6.202911024,8.650322426
2022-06-30,17147,Comm. & Industrial,1191.893738,4848.583994,6.123584452,9.752133094
2022-09-30,17147,Comm. & Industrial,939.5290244,5622.920441,6.248089867,11.39775271
2022-12-31,17147,Comm. & Industrial,775.1961185,5589.418046,4.026176667,10.62889283
2023-03-31,17147,Comm. & Industrial,678.5641429,5325.323309,3.775205779,11.63319438
2023-06-30,17147,Comm. & Industrial,702.8060219,5164.174171,3.137589897,12.66409397
2023-09-30,17147,Comm. & Industrial,727.0158695,4781.306718,2.813768665,13.00134229
2023-12-31,17147,Comm. & Industrial,640.3200505,4482.794493,2.486663247,12.89401727
2024-03-31,17147,Comm. & Industrial,577.8159781,4218.553353,2.173819841,12.58144138
2020-12-31,17147,Comm. Real Estate,14,14,1.81989841,1.81989841
2021-03-31,17147,Comm. Real Estate,1691.911343,1862.905627,2.304221864,2.357789698
2021-06-30,17147,Comm. Real Estate,1801.712836,3036.151822,2.446404999,2.877911419
2021-09-30,17147,Comm. Real Estate,1700.863285,3521.360226,2.609809569,3.581101759
2021-12-31,17147,Comm. Real Estate,1554.845243,3685.671258,2.724863723,4.321018715
2022-03-31,17147,Comm. Real Estate,1450.247993,3906.340671,3.001087087,5.302525604
2022-06-30,17147,Comm. Real Estate,1369.907179,4112.550451,3.314728761,6.390676007
2022-09-30,17147,Comm. Real Estate,1284.452106,4291.848313,3.628555813,7.528724043
2022-12-31,17147,Comm. Real Estate,1269.586818,3949.744162,3.438027724,8.038968463
2023-03-31,17147,Comm. Real Estate,1308.65301,3655.620403,3.743087837,8.92348692
2023-06-30,17147,Comm. Real Estate,1308.776845,3484.270015,3.578332939,9.225797477
2023-09-30,17147,Comm. Real Estate,1347.536714,3269.252895,3.399574882,9.143900997
2023-12-31,17147,Comm. Real Estate,1277.134369,3083.928412,3.234433148,8.886344289
2024-03-31,17147,Comm. Real Estate,1245.438081,2828.17608,3.104236173,8.526695738
2020-12-31,17147,Jr Mortgage & HELOC,60,60,2.44479034,2.44479034
2021-03-31,17147,Jr Mortgage & HELOC,337.8568901,375.2720122,2.96885104,3.044784595
2021-06-30,17147,Jr Mortgage & HELOC,298.7129102,444.9239662,3.515249043,3.889106935
2021-09-30,17147,Jr Mortgage & HELOC,268.9022082,487.1323566,3.888258128,4.710001031
2021-12-31,17147,Jr Mortgage & HELOC,246.5006022,506.5905049,4.081469376,5.454310263
2022-03-31,17147,Jr Mortgage & HELOC,230.4621838,530.5276578,4.485745655,6.501849966
2022-06-30,17147,Jr Mortgage & HELOC,217.534858,554.4648108,4.605667765,7.342436643
2022-09-30,17147,Jr Mortgage & HELOC,204.6075323,573.23237,4.58454163,8.084087476
2022-12-31,17147,Jr Mortgage & HELOC,198.9149845,534.8256612,4.303504916,8.481845877
2023-03-31,17147,Jr Mortgage & HELOC,202.0260771,498.6584547,4.547410618,9.289852717
2023-06-30,17147,Jr Mortgage & HELOC,202.0260771,471.7912105,4.219380494,9.382194113
2023-09-30,17147,Jr Mortgage & HELOC,205.1371697,441.6718712,3.98382919,9.271344229
2023-12-31,17147,Jr Mortgage & HELOC,197.7280737,416.0248533,3.798122151,9.027639527
2024-03-31,17147,Jr Mortgage & HELOC,193.4300703,382.9687394,3.652156999,8.685669165
2020-12-31,17147,Credit Cards,1.15,1.15,92.63639664,92.63639664
2021-03-31,17147,Credit Cards,3.746112357,2.303200891,124.4706937,116.8753567
2021-06-30,17147,Credit Cards,1.632975335,0.443930844,150.0192894,133.7565629
2021-09-30,17147,Credit Cards,2.656543198,1.206994701,111.5999954,81.10273141
2021-12-31,17147,Credit Cards,1.944170715,0.619995943,130.4841886,85.64219469
2022-03-31,17147,Credit Cards,2.154396073,0.698892278,163.1128613,96.23500935
2022-06-30,17147,Credit Cards,2.033735496,0.196915456,192.6264861,97.52646791
2022-09-30,17147,Credit Cards,2.173670897,0.143000923,228.8545449,97.14347671
2022-12-31,17147,Credit Cards,2.198820066,0.129263043,235.3625457,82.38341299
2023-03-31,17147,Credit Cards,2.273864534,0.355040812,242.3381819,70.98934973
2023-06-30,17147,Credit Cards,2.23873027,0.617065071,224.1863081,51.22042784
2023-09-30,17147,Credit Cards,2.230770766,0.977401157,230.5108112,57.26168112
2023-12-31,17147,Credit Cards,2.205377803,1.298745467,224.6862565,58.16895628
2024-03-31,17147,Credit Cards,2.192241103,1.649674773,226.9472865,69.87562018
2020-12-31,18827,Comm. & Industrial,68.8125,68.8125,34.85091157,34.85091157
2021-03-31,18827,Comm. & Industrial,345.2560399,133.8992912,49.84083033,44.68539536
2021-06-30,18827,Comm. & Industrial,206.1854037,145.5822247,70.37839443,61.60131452
2021-09-30,18827,Comm. & Industrial,221.2536472,158.4880826,112.9453576,96.74152476
2021-12-31,18827,Comm. & Industrial,237.087034,163.4603387,252.7574348,212.4271519
2022-03-31,18827,Comm. & Industrial,251.0688981,166.1235283,0,0
2022-06-30,18827,Comm. & Industrial,243.6340036,168.7867179,0,0
2022-09-30,18827,Comm. & Industrial,234.648769,198.447467,0,0
2022-12-31,18827,Comm. & Industrial,227.0955235,245.3225109,0,0
2023-03-31,18827,Comm. & Industrial,219.3235328,258.638459,0,0
2023-06-30,18827,Comm. & Industrial,219.9988921,271.9544071,0,0
2023-09-30,18827,Comm. & Industrial,220.4555062,285.2703553,0,0
2023-12-31,18827,Comm. & Industrial,222.6812055,298.5863034,0,0
2024-03-31,18827,Comm. & Industrial,223.2561706,311.9022515,0,0
2020-12-31,18827,Comm. Real Estate,17.25,17.25,0.38142357,0.38142357
2021-03-31,18827,Comm. Real Estate,20.40273858,57.3730516,0.322868795,0.398224565
2021-06-30,18827,Comm. Real Estate,18.97115533,57.77437985,0.314767028,0.463720508
2021-09-30,18827,Comm. Real Estate,18.2319696,55.13438639,0.305297433,0.518819641
2021-12-31,18827,Comm. Real Estate,18.25202254,50.91111433,0.295676712,0.560760599
2022-03-31,18827,Comm. Real Estate,19.23373677,49.32593653,0.29001045,0.60005513
